Product,Category,Price_USD,Rating,ValueForMoney
Great Value Oatmeal,Breakfast,3.1,4.6,Good
Great Value Corn Flakes,Breakfast,2.36,4.4,Good
Great Value Peanut Butter,Breakfast,4.16,4.2,Okay
Great Value Whole Wheat Bread,Breakfast,2.85,4.2,Okay
Great Value Eggs,Breakfast,2.25,4.3,Okay
Great Value Milk,Breakfast,2.81,4.5,Good
Great Value Yogurt,Breakfast,3.41,4.2,Okay
Great Value Bananas,Breakfast,2.65,4.5,Good
Granola Bars,Breakfast,1.11,4.4,Good
Great Value Orange Juice,Breakfast,2.58,4.7,Good
Great Value Canned Tuna,Lunch,1.97,4.5,Good
Great Value Instant Noodles,Lunch,1.73,4.3,Okay
Great Value Brown Rice,Lunch,1.64,4.2,Okay
Great Value Frozen Vegetables,Lunch,4.27,4.6,Good
Great Value Chicken Breast Canned,Lunch,1.59,4.7,Good
Canned Soup,Lunch,4.32,4.6,Good
Great Value Pasta,Lunch,3.4,4.7,Good
Great Value Tomato Sauce,Lunch,4.27,4.3,Okay
Great Value Cheddar Cheese,Lunch,0.85,4.1,Okay
Great Value Tortillas,Lunch,1.69,4.1,Okay
Ground Beef,Dinner,1.15,4.3,Okay
Great Value Pasta Sauce,Dinner,1.75,4.7,Good
Great Value Spaghetti,Dinner,2.35,4.7,Good
Great Value Frozen Pizza,Dinner,1.16,4.5,Good
Great Value Canned Beans,Dinner,4.67,4.3,Okay
Great Value Rice,Dinner,2.57,4.3,Okay
Frozen Chicken Strips,Dinner,4.93,4.4,Good
Great Value Instant Mashed Potatoes,Dinner,3.32,4.5,Good
Great Value Green Beans,Dinner,1.52,4.0,Okay
Great Value Corn,Dinner,2.6,4.6,Good
Chips,Snacks,0.98,4.6,Good
Great Value Trail Mix,Snacks,4.76,4.1,Okay
Crackers,Snacks,2.93,4.3,Okay
Great Value Cookies,Snacks,4.54,4.0,Okay
Great Value Apples,Snacks,1.93,4.8,Good
Great Value Carrots,Snacks,4.11,4.5,Good
Great Value Granola Bars,Snacks,4.54,4.1,Okay
Great Value Popcorn,Snacks,3.94,4.6,Good
Great Value Pretzels,Snacks,4.28,4.7,Good
Peanut Butter,Snacks,3.84,4.8,Good
Bottled Water,Drinks,2.21,4.1,Okay
Great Value Cola,Drinks,1.98,4.7,Good
Great Value Iced Tea,Drinks,4.03,4.6,Good
Great Value Instant Coffee,Drinks,3.47,4.8,Good
Great Value Green Tea,Drinks,3.83,4.1,Okay
Chocolate Milk,Drinks,4.88,4.5,Good
Lemonade,Drinks,4.78,4.5,Good
Great Value Sports Drink,Drinks,3.74,4.4,Good
Energy Drink,Drinks,4.65,4.5,Good
Great Value Apple Juice,Drinks,1.71,4.6,Good
